BOCS
N 2801

175	1.87	147.70761	245.04792
176	1.875	146.48743	243.03077
177	1.88	145.2773	241.03023
178	1.885	144.07713	239.04616
179	1.89	142.88684	237.07843
180	1.895	141.70634	235.12688
181	1.9	140.53557	233.19141
182	1.905	139.37443	231.27186
183	1.91	138.22285	229.36812
184	1.915	137.08075	227.48005
185	1.92	135.94805	225.60752
186	1.925	134.82467	223.7504
187	1.93	133.71055	221.90857
188	1.935	132.60559	220.0819
189	1.94	131.50973	218.27027
190	1.945	130.42289	216.47355
191	1.95	129.34499	214.69162
192	1.955	128.27597	212.92436
193	1.96	127.21575	211.17165
194	1.965	126.16425	209.43336
195	1.97	125.12141	207.70939
196	1.975	124.08716	205.9996
197	1.98	123.06142	204.30389
198	1.985	122.04412	202.62213
199	1.99	121.0352	200.95423
200	1.995	120.03458	199.30005
201	2	119.0422	197.65948
202	2.005	118.05798	196.03242
203	2.01	117.08187	194.41876
204	2.015	116.1138	192.81838
205	2.02	115.15369	191.23117
206	2.025	114.20148	189.65702
207	2.03	113.25712	188.09584
208	2.035	112.32053	186.5475
209	2.04	111.39164	185.01191
210	2.045	110.47041	183.48897
211	2.05	109.55675	181.97855
212	2.055	108.65062	180.48057
213	2.06	107.75195	178.99492
214	2.065	106.86067	177.52151
215	2.07	105.97673	176.06022
216	2.075	105.10007	174.61095
217	2.08	104.23062	173.17362
218	2.085	103.36833	171.74812
219	2.09	102.51314	170.33435
220	2.095	101.66499	168.93223
221	2.1	100.82382	167.54164
222	2.105	99.98957	166.1625
223	2.11	99.16219	164.79471
224	2.115	98.34163	163.43818
225	2.12	97.52781	162.09282
226	2.125	96.7207	160.75853
227	2.13	95.92023	159.43523
228	2.135	95.12635	158.12282
229	2.14	94.339	156.82121
230	2.145	93.55813	155.53032
231	2.15	92.7837	154.25005
232	2.155	92.01563	152.98032
233	2.16	91.25389	151.72104
234	2.165	90.49842	150.47213
235	2.17	89.74917	149.2335
236	2.175	89.00609	148.00507
237	2.18	88.26912	146.78675
238	2.185	87.53822	145.57845
239	2.19	86.81334	144.38011
240	2.195	86.09442	143.19162
241	2.2	85.38142	142.01292
242	2.205	84.67429	140.84393
243	2.21	83.97298	139.68455
244	2.215	83.27744	138.53472
245	2.22	82.58763	137.39436
246	2.225	81.9035	136.26338
247	2.23	81.225	135.14171
248	2.235	80.55208	134.02927
249	2.24	79.88471	132.92599
250	2.245	79.22282	131.8318
251	2.25	78.56639	130.74661
252	2.255	77.91536	129.67035
